date,acc_name_ch,nav_adj,acc_code
09/10/2006,富国天惠,1.790262,161005.OF
10/10/2006,富国天惠,1.788037,161005.OF
11/10/2006,富国天惠,1.777027,161005.OF
12/10/2006,富国天惠,1.753449,161005.OF
13/10/2006,富国天惠,1.75445,161005.OF
16/10/2006,富国天惠,1.716087,161005.OF
17/10/2006,富国天惠,1.723553,161005.OF
18/10/2006,富国天惠,1.745721,161005.OF
19/10/2006,富国天惠,1.759618,161005.OF
20/10/2006,富国天惠,1.760422,161005.OF
23/10/2006,富国天惠,1.723553,161005.OF
24/10/2006,富国天惠,1.754335,161005.OF
25/10/2006,富国天惠,1.777881,161005.OF
26/10/2006,富国天惠,1.78661,161005.OF
27/10/2006,富国天惠,1.772253,161005.OF
30/10/2006,富国天惠,1.76249,161005.OF
31/10/2006,富国天惠,1.769841,161005.OF
01/11/2006,富国天惠,1.767773,161005.OF
02/11/2006,富国天惠,1.757781,161005.OF
03/11/2006,富国天惠,1.773631,161005.OF
06/11/2006,富国天惠,1.775009,161005.OF
07/11/2006,富国天惠,1.778455,161005.OF
08/11/2006,富国天惠,1.783164,161005.OF
09/11/2006,富国天惠,1.805676,161005.OF
10/11/2006,富国天惠,1.78638,161005.OF
13/11/2006,富国天惠,1.755139,161005.OF
14/11/2006,富国天惠,1.777536,161005.OF
15/11/2006,富国天惠,1.830026,161005.OF
16/11/2006,富国天惠,1.855295,161005.OF
17/11/2006,富国天惠,1.888259,161005.OF
20/11/2006,富国天惠,1.905143,161005.OF
21/11/2006,富国天惠,1.913757,161005.OF
22/11/2006,富国天惠,1.931905,161005.OF
23/11/2006,富国天惠,1.936959,161005.OF
24/11/2006,富国天惠,1.94764,161005.OF
27/11/2006,富国天惠,1.977388,161005.OF
28/11/2006,富国天惠,1.99634,161005.OF
29/11/2006,富国天惠,2.035506,161005.OF
30/11/2006,富国天惠,2.093395,161005.OF
01/12/2006,富国天惠,2.120731,161005.OF
04/12/2006,富国天惠,2.141405,161005.OF
05/12/2006,富国天惠,2.162998,161005.OF
06/12/2006,富国天惠,2.134514,161005.OF
07/12/2006,富国天惠,2.116826,161005.OF
08/12/2006,富国天惠,2.075017,161005.OF
11/12/2006,富国天惠,2.141979,161005.OF
12/12/2006,富国天惠,2.168167,161005.OF
13/12/2006,富国天惠,2.199064,161005.OF
14/12/2006,富国天惠,2.229616,161005.OF
15/12/2006,富国天惠,2.281876,161005.OF
18/12/2006,富国天惠,2.360324,161005.OF
19/12/2006,富国天惠,2.344473,161005.OF
20/12/2006,富国天惠,2.359754,161005.OF
21/12/2006,富国天惠,2.336324,161005.OF
22/12/2006,富国天惠,2.322445,161005.OF
25/12/2006,富国天惠,2.335433,161005.OF
26/12/2006,富国天惠,2.323081,161005.OF
27/12/2006,富国天惠,2.358285,161005.OF
28/12/2006,富国天惠,2.352189,161005.OF
29/12/2006,富国天惠,2.397297,161005.OF
04/01/2007,富国天惠,2.3752,161005.OF
05/01/2007,富国天惠,2.384437,161005.OF
08/01/2007,富国天惠,2.432929,161005.OF
09/01/2007,富国天惠,2.447015,161005.OF
10/01/2007,富国天惠,2.45348,161005.OF
11/01/2007,富国天惠,2.452788,161005.OF
12/01/2007,富国天惠,2.447938,161005.OF
15/01/2007,富国天惠,2.48373,161005.OF
16/01/2007,富国天惠,2.520215,161005.OF
17/01/2007,富国天惠,2.485578,161005.OF
18/01/2007,富国天惠,2.50382,161005.OF
19/01/2007,富国天惠,2.536841,161005.OF
22/01/2007,富国天惠,2.586257,161005.OF
23/01/2007,富国天惠,2.570093,161005.OF
24/01/2007,富国天惠,2.589721,161005.OF
25/01/2007,富国天惠,2.54677,161005.OF
26/01/2007,富国天惠,2.586488,161005.OF
29/01/2007,富国天惠,2.593415,161005.OF
30/01/2007,富国天惠,2.585564,161005.OF
31/01/2007,富国天惠,2.463179,161005.OF
01/02/2007,富国天惠,2.477034,161005.OF
02/02/2007,富国天惠,2.39275,161005.OF
05/02/2007,富国天惠,2.348414,161005.OF
06/02/2007,富国天惠,2.348414,161005.OF
07/02/2007,富国天惠,2.383051,161005.OF
08/02/2007,富国天惠,2.393211,161005.OF
09/02/2007,富国天惠,2.381666,161005.OF
12/02/2007,富国天惠,2.469875,161005.OF
13/02/2007,富国天惠,2.516982,161005.OF
14/02/2007,富国天惠,2.576558,161005.OF
15/02/2007,富国天惠,2.622511,161005.OF
16/02/2007,富国天惠,2.603576,161005.OF
26/02/2007,富国天惠,2.559933,161005.OF
27/02/2007,富国天惠,2.317702,161005.OF
28/02/2007,富国天惠,2.353263,161005.OF
01/03/2007,富国天惠,2.314007,161005.OF
02/03/2007,富国天惠,2.35765,161005.OF
05/03/2007,富国天惠,2.323937,161005.OF
06/03/2007,富国天惠,2.380742,161005.OF
07/03/2007,富国天惠,2.454404,161005.OF
08/03/2007,富国天惠,2.494814,161005.OF
09/03/2007,富国天惠,2.477034,161005.OF
12/03/2007,富国天惠,2.469183,161005.OF
13/03/2007,富国天惠,2.478881,161005.OF
14/03/2007,富国天惠,2.429465,161005.OF
15/03/2007,富国天惠,2.467104,161005.OF
16/03/2007,富国天惠,2.445398,161005.OF
19/03/2007,富国天惠,2.480959,161005.OF
20/03/2007,富国天惠,2.452788,161005.OF
21/03/2007,富国天惠,2.468721,161005.OF
22/03/2007,富国天惠,2.476341,161005.OF
23/03/2007,富国天惠,2.462948,161005.OF
26/03/2007,富国天惠,2.48373,161005.OF
27/03/2007,富国天惠,2.483269,161005.OF
28/03/2007,富国天惠,2.480959,161005.OF
29/03/2007,富国天惠,2.502896,161005.OF
