date,acc_code,acc_chName,net_values,hs300
2007-01-04,161005.OF,富国天惠成长混合(LOF),2.3752004152,2067.092
2007-01-05,161005.OF,富国天惠成长混合(LOF),2.3844365508,2072.883
2007-01-08,161005.OF,富国天惠成长混合(LOF),2.4329288688000004,2131.556
2007-01-09,161005.OF,富国天惠成长混合(LOF),2.4470147326000005,2200.086
2007-01-10,161005.OF,富国天惠成长混合(LOF),2.453480375,2255.966
2007-01-11,161005.OF,富国天惠成长混合(LOF),2.4527876276000002,2231.629
2007-01-12,161005.OF,富国天惠成长混合(LOF),2.4479383958,2173.747
2007-01-15,161005.OF,富国天惠成长混合(LOF),2.4837303447999997,2287.342
2007-01-16,161005.OF,富国天惠成长混合(LOF),2.5202150411999997,2353.874
2007-01-17,161005.OF,富国天惠成长混合(LOF),2.4855776712,2308.931
2007-01-18,161005.OF,富国天惠成长混合(LOF),2.5038200194,2317.095
2007-01-19,161005.OF,富国天惠成长混合(LOF),2.5368409788,2396.093
2007-01-22,161005.OF,富国天惠成长混合(LOF),2.5862569600000005,2491.313
2007-01-23,161005.OF,富国天惠成长混合(LOF),2.570092854,2508.13
2007-01-24,161005.OF,富国天惠成长混合(LOF),2.5897206969999997,2536.428
2007-01-25,161005.OF,富国天惠成长混合(LOF),2.5467703582,2452.831
2007-01-26,161005.OF,富国天惠成长混合(LOF),2.5864878758,2512.922
2007-01-29,161005.OF,富国天惠成长混合(LOF),2.5934153498,2576.917
2007-01-30,161005.OF,富国天惠成长混合(LOF),2.5855642126,2551.884
2007-01-31,161005.OF,富国天惠成长混合(LOF),2.4631788386,2385.335
2007-02-01,161005.OF,富国天惠成长混合(LOF),2.4770337866,2395.172
2007-02-02,161005.OF,富国天惠成长混合(LOF),2.3927495196,2298.003
2007-02-05,161005.OF,富国天惠成长混合(LOF),2.348413686,2271.797
2007-02-06,161005.OF,富国天惠成长混合(LOF),2.348413686,2316.04
2007-02-07,161005.OF,富国天惠成长混合(LOF),2.3830510560000002,2369.787
2007-02-08,161005.OF,富国天惠成长混合(LOF),2.3932113512,2410.601
2007-02-09,161005.OF,富国天惠成长混合(LOF),2.3816655612,2397.245
2007-02-12,161005.OF,富国天惠成长混合(LOF),2.4698753968000005,2485.392
2007-02-13,161005.OF,富国天惠成长混合(LOF),2.51698222,2522.63
2007-02-14,161005.OF,富国天惠成长混合(LOF),2.5765584963999997,2588.349
