,富国天惠,兴全全球视野,兴全趋势,汇添富优势精选
Date,161005.OF,340006.OF,163402.OF,519008.OF
09/10/2006,1.790262,0.9985,1.915164,1.869364
10/10/2006,1.788037,0.9985,1.924838,1.86999
11/10/2006,1.777027,1.0085,1.92077,1.86092
12/10/2006,1.753449,1.0085,1.901972,1.836107
13/10/2006,1.75445,1.0085,1.916043,1.839548
16/10/2006,1.716087,1.0085,1.911976,1.803268
17/10/2006,1.723553,1.0085,1.894056,1.802329
18/10/2006,1.745721,1.0215,1.92209,1.827663
19/10/2006,1.759618,1.0214,1.92088,1.835378
20/10/2006,1.760422,1.0234,1.939459,1.839443
23/10/2006,1.723553,1.0146,1.903401,1.811399
24/10/2006,1.754335,1.034,1.945725,1.843509
25/10/2006,1.777881,1.0357,1.95529,1.868322
26/10/2006,1.78661,1.0417,1.960786,1.872387
27/10/2006,1.772253,1.0391,1.942208,1.858001
30/10/2006,1.76249,1.0431,1.932533,1.842884
31/10/2006,1.769841,1.0523,1.953751,1.85529
01/11/2006,1.767773,1.0591,1.960786,1.855811
02/11/2006,1.757781,1.0614,1.963645,1.847471
03/11/2006,1.773631,1.0654,1.976067,1.857062
06/11/2006,1.775009,1.0783,1.990359,1.870198
07/11/2006,1.778455,1.0824,1.999153,1.881353
08/11/2006,1.783164,1.0758,1.986291,1.881145
09/11/2006,1.805676,1.091,2.015644,1.912108
10/11/2006,1.78638,1.0835,1.995855,1.902934
13/11/2006,1.755139,1.0702,1.959907,1.867175
14/11/2006,1.777536,1.0811,1.982993,1.896053
15/11/2006,1.830026,1.1013,2.026747,1.960064
16/11/2006,1.855295,1.1031,2.024108,1.986023
17/11/2006,1.888259,1.1158,2.060387,2.019176
20/11/2006,1.905143,1.1334,2.08853,2.046907
21/11/2006,1.913757,1.1395,2.101832,2.043363
22/11/2006,1.931905,1.1441,2.110517,2.065777
23/11/2006,1.936959,1.1524,2.128766,2.064005
24/11/2006,1.94764,1.1517,2.133273,2.065777
27/11/2006,1.977388,1.1572,2.166034,2.077975
28/11/2006,1.99634,1.1547,2.17186,2.094551
29/11/2006,2.035506,1.1693,2.20605,2.133437
30/11/2006,2.093395,1.1988,2.27212,2.20214
01/12/2006,2.120731,1.2108,2.314225,2.221636
04/12/2006,2.141405,1.2383,2.356989,2.255309
05/12/2006,2.162998,1.2392,2.357209,2.275118
06/12/2006,2.134514,1.2299,2.317743,2.248429
07/12/2006,2.116826,1.2296,2.28817,2.229246
08/12/2006,2.075017,1.1921,2.223529,2.184626
11/12/2006,2.141979,1.2404,2.320601,2.268133
12/12/2006,2.168167,1.2518,2.350723,2.298262
13/12/2006,2.199064,1.2521,2.353911,2.321615
14/12/2006,2.229616,1.2717,2.399754,2.35998
15/12/2006,2.281876,1.2905,2.457689,2.413774
18/12/2006,2.360324,1.3267,2.533214,2.500826
19/12/2006,2.344473,1.3279,2.521561,2.478099
20/12/2006,2.359754,1.3346,2.546736,2.507915
21/12/2006,2.336324,1.3187,2.502872,2.469133
22/12/2006,2.322445,1.3137,2.481325,2.442757
25/12/2006,2.335433,1.3493,2.544757,2.497281
26/12/2006,2.323081,1.3533,2.545856,2.492694
27/12/2006,2.358285,1.3842,2.587301,2.538774
28/12/2006,2.352189,1.3849,2.590599,2.528766
29/12/2006,2.397297,1.423,2.647655,2.590692
04/01/2007,2.3752,1.4417,2.667993,2.581205
05/01/2007,2.384437,1.443,2.685693,2.570154
08/01/2007,2.432929,1.4752,2.741979,2.620508
09/01/2007,2.447015,1.5218,2.826188,2.694528
10/01/2007,2.45348,1.5423,2.871481,2.760625
11/01/2007,2.452788,1.5175,2.850154,2.754474
12/01/2007,2.447938,1.4853,2.805961,2.749157
15/01/2007,2.48373,1.547,2.939531,2.880516
16/01/2007,2.520215,1.583,3.053532,2.988418
17/01/2007,2.485578,1.5685,3.021761,2.936604
18/01/2007,2.50382,1.5621,3.041769,2.971529
19/01/2007,2.536841,1.6043,3.147086,3.096737
22/01/2007,2.586257,1.6591,3.264386,3.207662
23/01/2007,2.570093,1.6783,3.288022,3.158351
24/01/2007,2.589721,1.6912,3.29143,3.198071
25/01/2007,2.54677,1.6407,3.209859,3.121445
26/01/2007,2.586488,1.6785,3.282965,3.191503
29/01/2007,2.593415,1.7216,3.348816,3.213273
30/01/2007,2.585564,1.7065,3.342439,3.197322
31/01/2007,2.463179,1.6063,3.168194,3.013568
01/02/2007,2.477034,1.6064,3.177318,3.038895
02/02/2007,2.39275,1.547,3.071452,2.913446
05/02/2007,2.348414,1.5314,3.07398,2.869475
06/02/2007,2.348414,1.5571,3.113446,2.87551
07/02/2007,2.383051,1.5903,3.175779,2.910105
08/02/2007,2.393211,1.6122,3.245148,2.917715
09/02/2007,2.381666,1.604,3.232945,2.902494
12/02/2007,2.469875,1.6557,3.322431,3.028291
13/02/2007,2.516982,1.6789,3.366955,3.082571
14/02/2007,2.576558,1.724,3.435883,3.15308
15/02/2007,2.622511,1.7717,3.50866,3.220231
16/02/2007,2.603576,1.7783,3.518004,3.201429
26/02/2007,2.559933,1.7783,3.493929,3.140881
27/02/2007,2.317702,1.6315,3.214806,2.87015
28/02/2007,2.353263,1.6826,3.277468,2.915685
01/03/2007,2.314007,1.6496,3.189301,2.869916
02/03/2007,2.35765,1.6755,3.226459,2.904388
05/03/2007,2.323937,1.6721,3.221402,2.879815
06/03/2007,2.380742,1.7015,3.267025,2.938395
07/03/2007,2.454404,1.7367,3.344088,3.013511
08/03/2007,2.494814,1.7617,3.390151,3.057882
09/03/2007,2.477034,1.7579,3.364866,3.043558
12/03/2007,2.469183,1.7694,3.368604,3.031679
