,OF161005激励1,OF161005激励2,OF161005资金,OF161005超额收益,OF161005超额收益率,OF161005激励1/超额,OF161005激励2/超额
2007,0.0,0.11,12.08,-1.36,0.12,-0.0,-0.08
2008,0.66,0.66,22.08,12.81,0.49,0.05,0.05
2009,0.1,0.24,10.83,1.0,0.25,0.1,0.24
2010,0.34,0.38,22.92,3.42,0.2,0.1,0.11
2011,0.22,0.16,12.5,2.18,0.16,0.1,0.07
2012,0.0,0.0,18.75,-6.62,-0.08,-0.0,-0.0
2013,0.7,0.7,23.33,15.47,0.87,0.05,0.05
2014,0.14,0.4,17.08,1.39,0.27,0.1,0.29
2015,0.5,0.5,16.67,6.93,0.65,0.07,0.07
2016,0.0,0.0,11.67,-1.96,-0.07,-0.0,-0.0
2017,0.26,0.36,21.25,2.61,0.2,0.1,0.14
