"","year","account_code","mode","return_margin","return_margin2","return_margin3","E_end","excess_return","upper_limit","acc_return","Emean_return"
"1",2007,"161005.OF","Random_with_alpha",29088255.4671553,31191021.9853648,37681800.1336893,1412218513.0342,417648285.103796,43133259.6278095,858350461.761448,566043334.016912
"2",2008,"161005.OF","Random_with_alpha",71958714.0641208,73869492.9311201,64610328.5641495,1746200443.42169,944638982.538453,92939208.2635036,824310850.33647,992126575.969521
"3",2009,"161005.OF","Random_with_alpha",37498090.9556172,40736614.4180289,43167043.4057887,1909922517.53036,659242995.601131,63933977.4875463,894461082.698686,1061349687.65954
"4",2010,"161005.OF","Random_with_alpha",49043314.2452895,49375643.1704842,51539404.9883269,1725646970.35224,917672352.41395,126428337.848167,-465830518.945743,2267738056.1087
"5",2011,"161005.OF","Random_with_alpha",21997520.7497359,29515979.2206237,18648461.8934635,892674668.766757,223880721.45868,45867049.0906965,304274106.902816,588868645.170625
"6",2012,"161005.OF","Random_with_alpha",76037615.0272445,74632892.5041246,71348712.185876,2832047842.58171,1289577678.53205,94418972.2048464,1368950542.65586,1586273584.69543
"7",2013,"161005.OF","Random_with_alpha",80868105.6006899,85349789.5228523,83364300.5144587,4806254467.88551,2166767172.01039,150549532.929863,3015305652.22025,1754633141.83666
"8",2014,"161005.OF","Random_with_alpha",99276340.7826584,109272927.13374,103998075.971727,3440199822.00915,1106746718.08193,125918358.030465,1355482715.2602,2023214928.04578
"9",2015,"161005.OF","Random_with_alpha",88882633.0384216,89122292.9200438,84736860.9604395,3432634101.31461,1567604014.90957,182459623.301711,171116435.513788,3252116890.9024
"10",2007,"163402.OF","Random_with_alpha",60073149.3844181,60133358.3294369,59465404.890959,2376203718.40767,1137240682.53641,88746853.8020877,1302822333.1771,1168007031.37508
"11",2008,"163402.OF","Random_with_alpha",70078070.7082822,70529763.8833207,64467141.4372592,1661384051.94823,869876179.014808,85877627.8105657,833021030.770937,886713972.727076
"12",2009,"163402.OF","Random_with_alpha",10043230.2178884,10351405.0076687,17980623.4653026,601076062.685551,47406616.3691703,23995303.0840945,262402548.301549,333572499.163205
