year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return,ret_exc,ret_exc2,ret_exc3,ret_emean,ret_emean2,ret_emean3,year2
2006-12-29--2013-01-04,340006.OF,mode1,106153110.75284588,115687710.34984589,125030222.61384588,4200288259.3935814,1344967591.917091,155685491.42628655,-159424418.20862868,3936539920.4480224,0.0789261476564928,0.08601524010325547,0.09296151324778779,0.026966095326873878,0.029388171512986797,0.03176145171661718,2007
2006-12-29--2013-01-04,340006.OF,mode2,236508991.702,304579870.0745485,407639976.96255594,7765074989.234423,2365089917.0125017,407639976.96255594,616961620.5030212,10143068291.533585,0.10000000000031704,0.128781518150178,0.17235707362765826,0.023317302506916368,0.030028376159981215,0.040189020249702244,2007
2007-12-28--2014-01-02,340006.OF,mode1,84534893.82248074,85898862.37048075,89895342.57648075,1967370080.7623377,953503687.3961982,90477667.43322995,157258167.37244475,1822662166.5916405,0.08865712313428627,0.09008760375646896,0.0942789668931061,0.04637990263470499,0.04712824128626685,0.04932090226275126,2008
2007-12-28--2014-01-02,340006.OF,mode2,355790971.96099997,386983466.03902745,348746877.00302744,8183425600.062975,3557909719.607948,414586541.8396349,324730745.00859714,10987819148.22025,0.10000000000005767,0.10876708419731061,0.0980201591628515,0.032380490355870956,0.03521931520885189,0.03173940818451819,2008
2008-12-31--2015-01-05,340006.OF,mode1,26046641.332,26065257.135,18286507.202,3501160797.516148,-237629040.8002115,94763101.35426602,1130559965.7785852,2123988442.3816748,-0.1096105141201951,-0.1096888538842968,-0.0769540084007431,0.012263080538608454,0.012271845088654277,0.00860951351575856,2009
2008-12-31--2015-01-05,340006.OF,mode2,60029594.68922148,50403125.873,0.0,12459750579.37122,-897874133.1676966,321637701.2012097,4818085460.641053,8720270217.066275,-0.06685747196818922,-0.05613607075991594,-0.0,0.006883914511242863,0.00577999587379265,0.0,2009
2009-12-31--2016-01-04,340006.OF,mode1,75951033.95381229,79270443.45481229,82522978.9868123,4434515814.976971,1085375240.6396396,93195413.57945237,1954763354.2140036,1736032741.493743,0.06997675191950425,0.07303505781843353,0.07603175003161061,0.043749770461391974,0.04566183664635567,0.04753538168629622,2010
2009-12-31--2016-01-04,340006.OF,mode2,273003167.9075787,331005818.09557873,371574981.9895787,14373277458.534046,4416198396.778747,383136327.7124361,7573359203.90745,7640580507.385958,0.06181859223233994,0.07495266026476986,0.08413910531297962,0.03573068402900452,0.04332207713479411,0.04863177367614758,2010
2010-12-31--2017-01-03,340006.OF,mode1,33130966.71,43148152.928,30615806.871,3074500135.485837,331309667.0955947,80164247.10649252,696655537.3637544,1640629365.8032923,0.10000000000132966,0.13023511600568605,0.09240843208528003,0.02019405930466097,0.026299756561332554,0.018661013577560677,2011
2010-12-31--2017-01-03,340006.OF,mode2,42754533.424,106607408.69299999,44711829.712491445,12788617333.441738,427545334.2338525,263090160.1849888,1765055868.6839588,7279277682.416578,0.10000000000143787,0.24934761335669126,0.1045779853792899,0.005873458231614862,0.0146453279218232,0.006142344290628571,2011
2011-12-30--2018-01-02,340006.OF,mode1,2400022.918,20791426.704,0.0,1941218641.5396998,-199378722.4019252,88355584.05702029,335088535.8157684,1992649211.8212466,-0.012037507759538263,-0.10428107098653591,-0.0,0.0012044382442037659,0.01043406264417057,0.0,2012
2011-12-30--2018-01-02,340006.OF,mode2,0.0,70235992.862,4123491.67,3371140997.719957,-1826538140.7042542,238627733.0165721,-69483942.06946611,6731413760.433168,-0.0,-0.03845306664930592,-0.0022575447936773524,0.0,0.01043406264443924,0.000612574388791494,2012
2012-12-31--2019-01-02,340006.OF,mode1,39573019.35713532,39573019.35713532,39573019.35713532,2142589913.0195413,-53549774.184759855,142489311.42744762,-1195733967.448892,3430543069.0104103,-0.7389950743881514,-0.7389950743881514,-0.7389950743881514,0.011535497022210751,0.011535497022210751,0.011535497022210751,2013
2012-12-31--2019-01-02,340006.OF,mode2,119807790.69425286,119807790.69425286,119807790.69425286,5083292361.9769,-760511208.8797002,397181189.503343,-3676203838.5628552,9245779960.303005,-0.1575358644230113,-0.1575358644230113,-0.1575358644230113,0.012958105341966899,0.012958105341966899,0.012958105341966899,2013
2013-12-31--2020-01-02,340006.OF,mode1,4530592.649,12079297.769,0.0,2813896800.572193,-244482589.58979225,101683064.94264552,423839941.68133545,2049871270.691629,-0.018531350868794805,-0.049407599082075246,-0.0,0.0022101839826612004,0.005892710406602475,0.0,2014
2013-12-31--2020-01-02,340006.OF,mode2,0.0,41625394.246,0.0,15020926337.956274,-1305291838.4619474,396662886.2618444,2756457240.964698,8605943005.92959,-0.0,-0.031889722297695565,-0.0,0.0,0.004836819650945822,0.0,2014
2014-12-31--2021-01-04,340006.OF,mode1,60983286.990766644,73997881.54276665,59284921.51776665,4130437312.574684,697185037.3545145,101587600.32872523,1718400646.959563,1976164050.5922217,0.08747073405672791,0.10613808039190485,0.08503470146566071,0.03085942534603391,0.037445211859101865,0.03,2015
2014-12-31--2021-01-04,340006.OF,mode2,217592626.97713283,269018907.9261328,217592626.97713283,11453912263.787678,1890259223.8506796,365453386.5922017,7021027196.382952,7253087565.904428,0.11511258574042091,0.14231852675640422,0.11511258574042091,0.03,0.037090260593398386,0.03,2015
2006-12-29--2013-01-04,163402.OF,mode1,65521324.202094786,69115127.48309478,79374351.59409478,3140756722.827276,1002011084.9286889,130292291.34917925,-393718857.18628573,3089243329.302816,0.06538981972116387,0.06897641006437924,0.07921504341415914,0.021209505764921963,0.02237283377049252,0.025693784248458047,2007
2006-12-29--2013-01-04,163402.OF,mode2,119251948.10299999,204487534.44807482,299631582.2970748,11177163135.344618,1192519481.033832,399873224.2119081,-633662199.5298167,9866327573.86111,0.09999999999967865,0.17147521503866606,0.2512592767350978,0.012086761483465693,0.020725800245050066,0.030369109484149868,2007
2007-12-28--2014-01-02,163402.OF,mode1,53020127.5693717,53162422.557371706,58443909.7543717,1339485912.006937,574889668.7832754,73098965.26597193,-33042900.2305222,1268606278.5533407,0.09222661398940442,0.09247413102741481,0.10166108894958098,0.04179399744878559,0.0419061638398918,0.04606938397074497,2008
2007-12-28--2014-01-02,163402.OF,mode2,135750566.38300002,166423637.3242001,268494075.76620877,10725510195.094042,1357505663.8348203,268494075.76620877,929760169.9729586,6494967605.733622,0.09999999999964493,0.12259516977194014,0.1977848659634608,0.020900884288192947,0.025623474577037886,0.04133878597472723,2008
2008-12-31--2015-01-05,163402.OF,mode1,0.0,1090528.433,14274840.579,2520245243.2707577,-205446307.47409487,66479928.91399268,898361139.8535868,1431322532.3906949,-0.0,-0.005308094588838044,-0.06948209853224031,0.0,0.0007619026517933196,0.009973182323314064,2009
2008-12-31--2015-01-05,163402.OF,mode2,0.0,817242.004,147466807.9962644,11510112544.794641,-1786790348.5623155,147466807.9962644,4058220645.371566,4327524751.052692,-0.0,-0.00045737990730561535,-0.08253167928454444,0.0,0.00018884744767807548,0.03407647939168744,2009
