year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,163402.OF,Random_with_alpha,24743433.502532713,24894526.31600487,24801807.922588352,1207261639.2245057,526662219.5754831,53263088.02791689,-230811422.24447724,1438453858.0498424
2008,163402.OF,Random_with_alpha,43956673.68374963,44163958.30947837,42333676.13696772,918925732.8897943,515270829.14249396,59622745.738072544,-65527738.23508805,983676812.8506861
2009,163402.OF,Random_with_alpha,70818.2867815,345691.37363889994,8006036.4549401095,367838673.56235653,-136488511.48240063,14007407.887280013,130963371.93170735,218176007.91718617
2010,163402.OF,Random_with_alpha,35458472.86047666,35475023.838443324,35219146.21301881,1756714131.6823142,542694129.7424113,55370042.763412595,934131123.4492469,841035797.7061108
2011,163402.OF,Random_with_alpha,28625976.95952351,30252797.60546073,25837841.790201876,1257753106.549146,353691039.9046615,41907005.17806693,600886442.7030748,655317185.303331
2012,163402.OF,Random_with_alpha,25152489.02593564,24935713.608780395,25678421.14992556,1476652645.6191676,396569489.6703343,44753671.374667905,654153634.1787237,831190453.626013
2013,163402.OF,Random_with_alpha,53872549.45470609,53987209.410779715,54355995.2273109,1806953038.3012297,724393824.5266289,80563277.87977646,31062508.665200256,1804403813.5296218
2014,163402.OF,Random_with_alpha,39219020.83137772,39769117.138744436,39585027.27928262,1866355833.624295,431425220.12828493,58690134.227662794,603146470.5180094,1276874885.534029
2015,163402.OF,Random_with_alpha,81637269.57265739,81866828.13109672,74800473.43699387,2932112090.722476,1175645395.364578,81866828.13109672,1271614296.635868,1733059577.2621746
2016,163402.OF,Random_with_alpha,44417428.71671698,45613284.44807461,43909230.90290447,2281407087.5400352,520424281.21846306,60335411.0802364,1255289812.0190132,1011609591.2433072
2017,163402.OF,Random_with_alpha,20462833.688457515,26362641.0909561,27953802.40249363,1240259394.2993588,236411764.10685942,41428447.719046265,453885436.9532593,796542463.7367043
2018,163402.OF,Random_with_alpha,32048638.263490167,32135067.06050845,28472256.59672386,1769866322.3863454,375280366.22082937,78678233.43814984,101380311.52266978,1669091378.7962167
