year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,519005.OF,Random_without_alpha,3298102.0448713996,1044234.0939676939,5602140.0174500765,1044797620.1252949,-380371552.74256074,71841842.7845912,-355473571.04054344,1395969438.8412938
2008,519005.OF,Random_without_alpha,16517735.802,15776084.4774607,16667130.400784649,613322933.9119179,143097510.24420914,53202513.54115416,-175854336.76829243,775499264.4341503
2009,519005.OF,Random_without_alpha,1141284.7278179,0.0,7577346.074332278,1692124228.1589873,-434161121.8063258,69008540.65245512,393800065.4880691,1304825376.90277
2010,519005.OF,Random_without_alpha,6872246.9983836515,2531735.0409808997,6997304.9592427425,1195242426.7623677,24621037.658405,52251569.39564872,451359049.07996917,742863299.2920233
2011,519005.OF,Random_without_alpha,899150.3208470001,0.0,1806774.0491404,736191337.8570377,-449831548.8380076,53053638.63753092,-28109829.846395776,766546078.4076418
2012,519005.OF,Random_without_alpha,12552.9260245,0.0,254966.73074113493,1240584537.6244402,-653456439.859342,69227036.7679328,-62150796.47955376,1305523490.3856816
2013,519005.OF,Random_without_alpha,6180845.071124087,2399732.5337432,6433724.919344535,959502486.4315348,-385293941.4246583,77871301.7206199,-630464683.5337962,1596731892.1668873
2014,519005.OF,Random_without_alpha,26910616.72632132,29016842.603664283,25213686.29345379,1625537175.5608459,-215390299.70544535,59040044.28329365,652071054.763157,967228086.7888094
2015,519005.OF,Random_without_alpha,24771535.16940013,28446095.922088526,24638123.709867064,1642804805.340939,89639813.24832785,58301477.20152895,702974112.624896,948203197.4029508
2016,519005.OF,Random_without_alpha,8671307.126471354,18313360.320615683,9333353.291341398,1344227047.651574,-57012360.47567366,48317080.24673256,736887023.9151517,610445344.0205227
2017,519005.OF,Random_without_alpha,33945625.59499172,30085073.55024538,26302301.565857146,2045716847.749298,124190289.87893829,80982181.71862283,369522326.3468748,1696570272.2792485
2018,519005.OF,Random_without_alpha,25987790.64882985,29929748.106108952,25728137.059474707,1705788959.517013,254041044.52670014,82293213.46999098,-38016850.53298435,1745448845.4627337
