year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,161005.OF,Random_with_alpha,0.0,1921354.3123999997,8632880.033532482,598349943.4904363,-228009377.65760642,8632880.033532482,613030641.6355107,287762667.7844161
2008,161005.OF,Random_with_alpha,30399320.240452725,30399320.240452725,29237021.35160954,1171910220.5564914,511227012.6481231,30399320.240452725,112305936.86097932,1013310674.6817576
2009,161005.OF,Random_with_alpha,1578786.3216999997,6979098.8056,8937619.438148852,522128655.2167137,-4945482.85597654,8937619.438148852,527314767.37536126,297920647.9382952
2010,161005.OF,Random_with_alpha,17920875.538468525,14897159.269199997,15710845.774589127,590912066.8067449,185319236.68379083,21254904.284488223,-25968782.70547871,708496809.4829409
2011,161005.OF,Random_with_alpha,3183116.5739,8892900.7028,2081301.0059,334030415.5482662,31831165.738155354,17946611.426776916,-106719359.12553862,598220380.892564
2012,161005.OF,Random_with_alpha,2510805.4904,0.0,0.0,702201103.0958971,-7656260.51384067,17707376.23894319,295133936.88944966,590245874.6314397
2013,161005.OF,Random_with_alpha,35195029.701862305,35195029.701862305,35195029.701862305,3135823182.298671,1063958482.0502418,35195029.701862305,1826279828.7940726,1173167656.7287438
2014,161005.OF,Random_with_alpha,16774996.128100002,20079899.296600003,19464262.06751185,1171176741.5455549,167749961.27822995,21766967.26781426,698335296.4431314,725565575.5938087
2015,161005.OF,Random_with_alpha,27871085.303440552,27871085.303440552,27871085.303440552,1625619128.9734745,610407780.7505219,27871085.303440552,830862502.6408947,929036176.7813518
2016,161005.OF,Random_with_alpha,0.0,0.0,20732.6342,225420086.65933067,-60453022.63959547,18756710.350008044,-141210748.73494607,625223678.3336017
2017,161005.OF,Random_with_alpha,9954758.706,13552862.280199999,9284122.6661,793676481.1998361,99547587.05926654,21097876.277611516,318323261.90543383,703262542.5870506
2018,161005.OF,Random_with_alpha,22401317.825698163,22401317.825698163,18879308.779620614,1162422591.7042222,321520458.401446,22401317.825698163,538430681.9897207,746710594.1899389
2019,161005.OF,Random_with_alpha,30243285.09025625,30243285.09025625,30243285.09025625,2426989925.920304,818217528.1727321,30243285.09025625,1655618870.416945,1008109503.0085418
