year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,161005.OF,Random_without_alpha,228392388.71332258,50831553.233,0.0,11868510838.488567,3610256590.216282,228392388.71332258,2557645713.1449394,7613079623.77742
2008,161005.OF,Random_without_alpha,57603888.38705332,57603888.38705332,57603888.38705332,3798990349.568042,1437145389.1662533,57603888.38705332,331469257.94289726,1920129612.9017773
2009,161005.OF,Random_without_alpha,122934553.724,107044410.724,0.0,11000577903.249674,1229345537.2438016,137083917.6630062,-149706342.504902,4569463922.100206
2010,161005.OF,Random_without_alpha,0.0,23001807.66,32818419.360925827,6981450137.734583,-176069368.13346732,32818419.360925827,377930162.6983038,1093947312.030861
2011,161005.OF,Random_without_alpha,85549571.76395813,42391503.82,85549571.76395813,6911394635.942695,1423744369.2639022,85549571.76395813,1549031914.06086,2851652392.1319375
2012,161005.OF,Random_without_alpha,0.0,0.0,0.0,1123000865.0294712,-178612770.7123338,13959535.99949576,241614226.50895792,465317866.64985865
2013,161005.OF,Random_without_alpha,121842720.15245946,121842720.15245946,121842720.15245946,7449180914.902561,4302603633.080515,121842720.15245946,8419685386.300585,4061424005.081982
2014,161005.OF,Random_without_alpha,0.0,5221830.912,5660557.399710788,1342460387.2676613,-147609864.62917542,5660557.399710788,1258351416.415297,188685246.6570263
2015,161005.OF,Random_without_alpha,8149615.257252306,8149615.257252306,8149615.257252306,868419182.7674615,330720238.8478954,8149615.257252306,616853289.8041978,271653841.9084102
2016,161005.OF,Random_without_alpha,66529196.692,0.0,172916548.31438833,728537991.743231,665291966.9230604,172916548.31438833,1886774601.1748505,5763884943.812944
2017,161005.OF,Random_without_alpha,13948172.101461008,8960032.425,13948172.101461008,1541598240.4420948,213828420.62277758,13948172.101461008,487445095.8988346,464939070.0487003
2018,161005.OF,Random_without_alpha,88215898.70519811,88215898.70519811,88215898.70519811,9227667367.316423,1821634230.4593434,88215898.70519811,3525519898.082232,2940529956.839937
2019,161005.OF,Random_without_alpha,162730351.79828316,162730351.79828316,162730351.79828316,2940005428.5846047,4778708820.032617,162730351.79828316,6994573933.649489,5424345059.942772
2007,340006.OF,Random_without_alpha,192529885.35338873,192529885.35338873,192529885.35338873,13069463265.230803,3034730812.357336,192529885.35338873,8411200152.635094,6417662845.112958
2008,340006.OF,Random_without_alpha,17281045.374,80732770.57692146,80732770.57692146,3365814349.5226464,172810453.73613834,80732770.57692146,2206298912.793573,2691092352.564049
