year,account_code,mode,return_margin,return_margin2,return_margin3,E_end,excess_return,upper_limit,acc_return,Emean_return
2007,161005.OF,Random_with_alpha,11245714.471,40939569.552,14192047.567841364,4189239219.4289265,-225597235.66112554,59246241.935820095,-378254646.76573,1934107090.4992912
2008,161005.OF,Random_with_alpha,105624023.64805508,57867779.80194176,105624023.64805508,9143339977.45113,1512558217.8017764,105624023.64805508,1647959591.298984,3155475059.2704434
2009,161005.OF,Random_with_alpha,58773117.91873115,698985.566,895139.4949024522,2867974722.158501,529780267.5300843,59668257.41363361,902650966.0322222,1959103930.6243718
2010,161005.OF,Random_with_alpha,348583563.70758426,370677761.81958425,367284335.06958425,8874036875.62419,6292968673.057187,432850371.0864806,9357522138.109713,7499930801.686142
2011,161005.OF,Random_with_alpha,17512555.39668048,17451565.212,14309986.953000002,578887968.4976656,264426830.48892683,25530904.68907912,264805317.4631884,374768589.88934946
2012,161005.OF,Random_with_alpha,15300597.652773663,15300597.652773663,40770467.75377366,202271065.30940214,393967842.53395534,58343097.59212369,722789519.1324623,510019921.75912213
2013,161005.OF,Random_with_alpha,15904515.910519684,15904515.910519684,15904515.910519684,492748833.0175517,143554171.42264026,50163220.44717227,-313156516.03668153,1141956817.8884196
2014,161005.OF,Random_with_alpha,0.0,16153798.24,3139099.5361789316,331263500.3113981,-1080538776.8122234,18738926.892552614,364223914.56309295,838225976.7457895
2015,161005.OF,Random_with_alpha,103513010.58188918,103513010.58188918,24493127.33243485,2886056029.934061,1754567905.7763305,103513010.58188918,615910876.5466118,816437577.7478284
2016,161005.OF,Random_with_alpha,-1724255.813456347,0.0,-1724255.813456347,584419674.1204827,24547332.370169938,14358643.973828463,73039980.67938042,-57475193.78187823
2017,161005.OF,Random_with_alpha,0.0,6062352.942,9437325.464292943,691808085.4969112,-74819814.09821597,-12757516.567771208,-485719961.2113442,-739828067.7354717
2018,161005.OF,Random_with_alpha,50286300.011,60445434.993893966,62019611.04889396,9250462334.95975,502863000.1033288,258623922.44503826,378904952.94869775,6905057213.638143
2007,340006.OF,Random_with_alpha,159561954.595,154037013.09885663,128312975.74685663,3297862440.916895,1200172275.1925673,219617716.36936432,-671814638.9988047,6454384455.48359
2008,340006.OF,Random_with_alpha,147032434.68743473,140359107.22417563,147032434.68743473,3831780464.193391,2101916394.061605,147032434.68743473,778850146.3768954,2656418284.975303
2009,340006.OF,Random_with_alpha,23846815.726,21334334.314,164099.427,8884703819.646933,-644050814.2633476,206070665.91754875,2001087159.7263663,6022056577.812927
2010,340006.OF,Random_with_alpha,100218884.68218435,145372007.17918435,168496992.14950404,2308423090.4066615,3244353053.6453824,168496992.14950404,4476371482.497996,3340629489.406145
